Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối,matched_txn_id,from,subject,kind,user_account,label
TW082126914260,****0101,TOPUP_WALLET_FROM_CARD,SUCCESS,250.0,USD,96.33,0.0,1.0,Top up wallet from card ****0101,2026-08-21 04:51:00,,,Wealify Security <no-reply@wea1ify-support.com>,[Khẩn] Xác minh tài khoản của bạn trong 24h,phishing,wealifytester,OTHER
TW082126504268,****0101,TOPUP_WALLET_FROM_CARD,SUCCESS,250.0,USD,96.33,0.0,1.0,Top up wallet from card ****0101,2026-08-21 04:28:00,,,Wealify Security <no-reply@wea1ify-support.com>,[Khẩn] Xác minh tài khoản của bạn trong 24h,phishing,wealifytester,OTHER
WLFJR-CD-0039,****0101,CARD_PAYMENT,SUCCESS,10.0,USD,96.33,0.0,0.0,Subscription PADDLE.NET* NOTION,2026-08-18 19:17:00,,CD-0039,receipts@canva.com,Your receipt from CANVA,receipt,wealifytester,SUBSCRIPTION
WLFJR-CD-0078,****0102,CARD_PAYMENT,PENDING,18.93,USD,355.72,0.0,0.0,Vultr,2026-08-17 23:49:00,,CD-0078,,,,,OTHER
WLFJR-CD-0145,****0103,CARD_PAYMENT,SUCCESS,15.88,USD,1167.86,0.0,0.0,The Coffee House,2026-08-17 19:55:00,,CD-0145,,,,,OTHER
WLFJR-CD-0032,****0103,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,0.0,0.0,Subscription ADOBE *CREATIVE CLD,2026-08-15 20:34:00,,CD-0032,receipts@paddle.com,Your receipt from PADDLE.NET,receipt,wealifytester,SUBSCRIPTION
WLFJR-WL-0058,,WALLET_WITHDRAW_BANK,SUCCESS,250.0,USD,,0.0,0.0,Rút về ngân hàng (đang xử lý),2026-08-15 09:30:00,,WL-0058,,,,,OTHER
WLFJR-CD-0212,****0101,WITHDRAW_CARD,SUCCESS,250.0,USD,96.33,0.0,0.0,Withdraw to bank,2026-08-15 09:30:00,,CD-0212,,,,,OTHER
WLFJR-CD-0088,****0101,CARD_PAYMENT,SUCCESS,56.85,USD,96.33,0.0,0.0,Namecheap,2026-08-14 06:45:00,,CD-0088,,,,,OTHER
WLFJR-CD-0133,****0101,CARD_PAYMENT,SUCCESS,44.64,USD,96.33,0.0,0.0,Vultr,2026-08-13 17:01:00,,CD-0133,,,,,OTHER
WLFJR-CD-0019,****0102,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,0.0,0.0,Subscription GOOGLE *YOUTUBEPREM,2026-08-12 14:35:00,,CD-0019,receipts@openai.com,Your receipt from OPENAI,receipt,wealifytester,SUBSCRIPTION
