Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối
85f014c5-2265-43f4-92ce-cb24009a4a23,****0101,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0101,2026-08-21 04:51:54,
67c06d6b-f7c5-44b9-ae4e-e04ba668b620,****0101,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0101,2026-08-21 04:28:24,
c8668e69-d277-4be1-8399-5abc54f864b8,****0101,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-08-18 19:17:00,
0dce6bb1-6d23-48c6-8cc8-78df3b124d00,****0102,CARD_PAYMENT,PENDING,18.93,USD,355.72,,,Vultr,2026-08-17 23:49:00,
95df732d-b5ee-48f3-8a96-1afd7105b24f,****0103,CARD_PAYMENT,SUCCESS,15.88,USD,1167.86,,,The Coffee House,2026-08-17 19:55:00,
c80e191b-5746-4572-875e-87a6444a3b48,****0103,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-08-15 20:34:00,
16bc6a62-de6a-48d9-857f-9682c50fe736,,WALLET_WITHDRAW_BANK,SUCCESS,250,USD,,,,Rút về ngân hàng (đang xử lý),2026-08-15 09:30:00,
8f7dbf76-bc4d-466f-84f0-e5aa1b406e7e,****0101,WITHDRAW_CARD,SUCCESS,250,USD,96.33,,,Withdraw to bank,2026-08-15 09:30:00,
4097014e-f410-4082-81fe-91fc6700846f,****0101,CARD_PAYMENT,SUCCESS,56.85,USD,96.33,,,Namecheap,2026-08-14 06:45:00,
7a8a90e1-cb53-4f8e-8590-cdb89c1ee97f,****0101,CARD_PAYMENT,SUCCESS,44.64,USD,96.33,,,Vultr,2026-08-13 17:01:00,
1f9554bf-ec26-461d-8c1c-f2efe2c552cb,****0102,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-08-12 14:35:00,
dd7d3ff4-cea7-444a-8de3-a25db13d69e1,****0104,DECLINE_FEE,SUCCESS,0.58,EUR,116.86,,,FX fee for APPLE.COM/BILL,2026-08-11 16:21:00,
2baa0e99-5447-416e-8a63-f501b007df48,****0104,CARD_PAYMENT,SUCCESS,57.54,EUR,116.86,,,Apple,2026-08-11 16:20:00,
042728e8-ace1-4716-89f6-e37c8fb716de,****0102,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-08-09 12:11:00,
3b1872d7-05a0-47b8-80c7-14750560579e,,WALLET_TOP_UP,SUCCESS,2001.66,USD,,,,Nhận & chuyển về ví: Amazon (USD),2026-08-09 02:47:00,
c8081b31-5dbb-4bff-8429-384361a72198,****0103,CARD_PAYMENT,SUCCESS,3.73,USD,1167.86,,,The Coffee House,2026-08-08 12:50:00,
