Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối
0404110e-f2ce-4d47-a49f-3cf54e5e4de5,****0201,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0201,2026-08-21 04:51:54,
0af13c2f-bc05-42b1-8cae-a6e878f5d6d0,****0201,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0201,2026-08-21 04:28:24,
f00889fb-3f51-4b3d-8044-8baa23a3e98d,****0201,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-08-18 19:17:00,
0090a4d7-4ebd-46b5-8d7a-711a2237e367,****0202,CARD_PAYMENT,PENDING,18.93,USD,355.72,,,Vultr,2026-08-17 23:49:00,
fcf82e72-2c04-42f6-8214-222dea1add75,****0203,CARD_PAYMENT,SUCCESS,15.88,USD,1167.86,,,The Coffee House,2026-08-17 19:55:00,
95d59ecd-5b6d-41ed-838e-b960bc8176bb,****0203,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-08-15 20:34:00,
206fde1c-c57d-4e19-8715-a4d915ad5fa6,,WALLET_WITHDRAW_BANK,SUCCESS,250,USD,,,,Rút về ngân hàng (đang xử lý),2026-08-15 09:30:00,
39005410-e792-4c70-826a-463ab280617b,****0201,WITHDRAW_CARD,SUCCESS,250,USD,96.33,,,Withdraw to bank,2026-08-15 09:30:00,
7689c05d-e652-4d4a-8a99-69618798567c,****0201,CARD_PAYMENT,SUCCESS,56.85,USD,96.33,,,Namecheap,2026-08-14 06:45:00,
2a1911cf-ee07-40e3-8b71-6a2bc6a5279e,****0201,CARD_PAYMENT,SUCCESS,44.64,USD,96.33,,,Vultr,2026-08-13 17:01:00,
0173f01a-2b9d-47f4-8465-2567884c85df,****0202,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-08-12 14:35:00,
a491b1f2-06b7-4229-8252-00f568a0fb8e,****0204,DECLINE_FEE,SUCCESS,0.58,EUR,116.86,,,FX fee for APPLE.COM/BILL,2026-08-11 16:21:00,
3c053703-b185-4521-8387-a9c74676e9c3,****0204,CARD_PAYMENT,SUCCESS,57.54,EUR,116.86,,,Apple,2026-08-11 16:20:00,
761178bc-ed23-407d-8b12-a16a852cf95d,****0202,CARD_PAYMENT,SUCCESS,9.99,USD,355.72,,,Subscription Spotify P0F2K,2026-08-09 12:11:00,
