Mã giao dịch,Id,Số thẻ,Loại giao dịch,Trạng thái,Số tiền,Đơn vị tiền tệ,Số dư,Phí,Tỷ giá,Nội dung chuyển khoản,Thời gian,Lý do từ chối
WCW082126708205,f6825296-3a74-4eef-8a58-3703855618b0,,WALLET_WITHDRAW_TO_WALLET,PENDING,99.7,USD,,0.003,1,Withdraw to wallet address: T9yD...uWwb (Tron),2026-08-21 07:51:48,
WCW082126621016,2aebbcfe-7823-4552-ba94-bea666f13cc3,,WALLET_WITHDRAW_TO_WALLET,PENDING,747.75,USD,,0.003,1,Withdraw to wallet address: T9yD...uWwb (Tron),2026-08-21 06:27:01,
TW082026786190,2097787d-4492-4999-b23a-9549bd17089a,****0001,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0001,2026-08-20 10:46:26,
TW082026186228,11c5a3a7-3cc0-4be5-bd61-c76b16bba1fa,****0001,TOPUP_WALLET_FROM_CARD,SUCCESS,250,USD,96.33,0,1,Top up wallet from card ****0001,2026-08-20 10:36:26,
WLF15-CD-0038,1d79c87c-9a92-41d9-ac5c-25dc11e06895,****0001,CARD_PAYMENT,SUCCESS,10,USD,96.33,,,Subscription PADDLE.NET* NOTION,2026-08-18 19:17:00,
WLF15-CD-0077,84607340-6147-482e-aef4-9cd64208666c,****0002,CARD_PAYMENT,PENDING,18.93,USD,355.72,,,Vultr,2026-08-17 23:49:00,
WLF15-CD-0144,8e293fdd-8a96-4c61-a72f-77d0a5ad75c4,****0003,CARD_PAYMENT,SUCCESS,15.88,USD,1167.86,,,The Coffee House,2026-08-17 19:55:00,
WLF15-CD-0031,faabeab3-157d-46ed-a871-da0f54374f14,****0003,CARD_PAYMENT,SUCCESS,54.99,USD,1167.86,,,Subscription ADOBE *CREATIVE CLD,2026-08-15 20:34:00,
WLF15-CD-0211,97616aee-fb0c-480b-a266-39173c970627,****0001,WITHDRAW_CARD,SUCCESS,250,USD,96.33,,,Withdraw to bank,2026-08-15 09:30:00,
WLF15-WL-0057,a7f45486-da32-401b-ae8d-e817ae6f8517,,WALLET_WITHDRAW_BANK,SUCCESS,250,USD,,,,Rút về ngân hàng (đang xử lý),2026-08-15 09:30:00,
WLF15-CD-0087,2567270e-49d4-4c99-a994-d4f670ce01cc,****0001,CARD_PAYMENT,SUCCESS,56.85,USD,96.33,,,Namecheap,2026-08-14 06:45:00,
WLF15-CD-0132,7deb0c68-05fe-4adb-a3c9-f6badd2c2c3d,****0001,CARD_PAYMENT,SUCCESS,44.64,USD,96.33,,,Vultr,2026-08-13 17:01:00,
WLF15-CD-0018,3892e943-1c35-47f0-ae99-906bba08dbc0,****0002,CARD_PAYMENT,SUCCESS,13.99,USD,355.72,,,Subscription GOOGLE *YOUTUBEPREM,2026-08-12 14:35:00,
WLF15-CD-0194,678b9ea2-eb80-4140-a9f4-9fa2289d9d6e,****0004,DECLINE_FEE,SUCCESS,0.58,EUR,116.86,,,FX fee for APPLE.COM/BILL,2026-08-11 16:21:00,
